Time,Distance path,Collided,Lateral Response,Distance Actor,Stopping Distance,Crossing Border,Dangerous
2023-03-29 14:41:23.576530,0.11388281143876275,False,,,,,
2023-03-29 14:41:24.079567,0.11388281143876275,False,0,37.469009761836624,3.79167,False,False
2023-03-29 14:41:24.583817,0.11388281143876275,False,0,37.631172812635754,3.79167,False,False
2023-03-29 14:41:25.087884,0.11388281143876275,False,0,37.80052781442927,3.79167,False,False
2023-03-29 14:41:25.592673,0.11388281143876275,False,0,37.995997537292425,3.79167,False,False
2023-03-29 14:41:26.095648,0.11388281143876275,False,0,38.23020372319164,3.79167,False,False
2023-03-29 14:41:26.599609,0.11388281143876275,False,0,38.458776777090655,3.79167,False,False
2023-03-29 14:41:27.102736,0.11388281143876275,False,0,36.72097850761241,3.79167,False,False
2023-03-29 14:41:27.106072,0.11388281143876275,False,0,38.724656110069795,3.79167,False,False
2023-03-29 14:41:27.608511,0.11388281143876275,False,0,36.760997897609855,3.79167,False,False
2023-03-29 14:41:27.613247,0.11388281143876275,False,0,38.98254666618992,3.79167,False,False
2023-03-29 14:41:28.116314,0.11388281143876275,False,0,36.81845131189976,3.79167,False,False
2023-03-29 14:41:28.118576,0.11388281143876275,False,0,39.29543080216494,3.79167,False,False
2023-03-29 14:41:28.620501,0.11388281143876275,False,0,39.6948694191168,3.79167,False,False
2023-03-29 14:41:28.624247,0.11388281143876275,False,0,36.89381241802174,3.79167,False,False
2023-03-29 14:41:29.127393,0.11388281143876275,False,0,40.03148572884851,3.79167,False,False
2023-03-29 14:41:29.130629,0.11388281143876275,False,0,36.9781115303505,3.79167,False,False
2023-03-29 14:41:29.633539,0.11388281143876275,False,0,37.07457400173149,3.79167,False,False
2023-03-29 14:41:29.636145,0.11388281143876275,False,0,40.29893770630554,3.79167,False,False
2023-03-29 14:41:30.138354,0.11388281143876275,False,0,37.19423578932474,3.79167,False,False
2023-03-29 14:41:30.141505,0.11388281143876275,False,0,40.553781727129184,3.79167,False,False
2023-03-29 14:41:30.645742,0.11384249756919318,False,0,40.784829961241385,3.79167,False,False
2023-03-29 14:41:30.648150,0.11384249756919318,False,0,37.31058960732948,3.79167,False,False
2023-03-29 14:41:31.150293,0.11387837823529628,False,0,37.46955555347893,3.79167,False,False
