Time,Distance path,Collided,Lateral Response,Distance Actor,Stopping Distance,Crossing Border,Dangerous,Player Loc X,Player Loc Y,Player Loc Z,Speed player
2023-04-01 19:39:45.691714,0.11398621112936438,False,,,,,,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.196460,0.11398621112936438,False,0,38.05904307678939,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.200360,0.11398621112936438,False,0,35.504354050629914,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.202015,0.11398621112936438,False,0,32.57741752852697,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.704242,0.11398621112936438,False,0,38.080566422990564,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.707367,0.11398621112936438,False,0,35.53713663853161,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:46.708765,0.11398621112936438,False,0,32.82404197605503,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.211344,0.11398621112936438,False,0,38.11716544962316,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.214873,0.11398621112936438,False,0,33.10279059000681,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.217846,0.11398621112936438,False,0,35.59454267883005,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.722130,0.11398621112936438,False,0,38.157745122816685,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.725023,0.11398621112936438,False,0,35.61877136492514,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:47.726880,0.11398621112936438,False,0,33.3715378577962,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:48.229307,0.11398621112936438,False,0,33.6264211702524,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:48.233057,0.11398621112936438,False,0,38.198735077165296,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:48.235892,0.11398621112936438,False,0,35.657138797571726,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:39:48.739699,0.11385312630649445,False,0,33.94420224642521,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.000025, y=-0.000002, z=0.000561)"
2023-04-01 19:39:48.743500,0.11385312630649445,False,0,35.708529013397005,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.000025, y=-0.000002, z=0.000561)"
2023-04-01 19:39:48.747173,0.11385312630649445,False,0,38.232602637130526,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.000025, y=-0.000002, z=0.000561)"
2023-04-01 19:39:49.250879,0.11384153850130212,False,0,34.273800092212674,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.020874, y=-0.000554, z=0.001069)"
2023-04-01 19:39:49.255472,0.11384153850130212,False,0,38.23808309201527,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.020874, y=-0.000554, z=0.001069)"
2023-04-01 19:39:49.259025,0.11384153850130212,False,0,35.708408531247336,3.79167,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.051174, y=-0.001336, z=0.000903)"
2023-04-01 19:39:49.762854,0.24712286504582176,False,0,38.13294445825937,5.1048,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.737160, y=-0.019056, z=0.000965)"
2023-04-01 19:39:49.766314,0.24712286504582176,False,0,35.565845380070186,5.1048,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.737160, y=-0.019056, z=0.000965)"
2023-04-01 19:39:49.768826,0.24712286504582176,False,0,34.48626963778554,5.1048,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-0.737160, y=-0.019056, z=0.000965)"
2023-04-01 19:39:50.272494,0.259049931996294,False,0,35.09027794161258,6.68039,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-1.383868, y=-0.035936, z=0.000577)"
2023-04-01 19:39:50.276172,0.259049931996294,False,0,34.39872831091048,6.68039,False,False,129.5712890625,-72.48198699951172,7.886961460113525,"Vector3D(x=-1.383868, y=-0.035936, z=0.000577)"
