Time,Distance path,Collided,Lateral Response,Distance Actor,Stopping Distance,Crossing Border,Dangerous,Player Loc X,Player Loc Y,Player Loc Z
2023-03-29 16:09:30.907527,0.11391208466570298,False,,,,,,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.411545,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.415140,0.11391208466570298,False,0,37.46132570506769,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.417613,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.920994,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.924077,0.11391208466570298,False,0,37.60583643317783,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:31.925961,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.428570,0.11391208466570298,False,0,37.79770534854246,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.431628,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.433739,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.936591,0.11391208466570298,False,0,37.971138828949925,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.938797,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:32.940307,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.442600,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.446298,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.449009,0.11391208466570298,False,0,38.20075836344144,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.951120,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.953216,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:33.954833,0.11391208466570298,False,0,38.415594697213805,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.457078,0.11391208466570298,False,0,36.71980569296873,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.459403,0.11391208466570298,False,0,38.70685221074091,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.460825,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.463420,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.966720,0.11391208466570298,False,0,36.75891987672253,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.969513,0.11391208466570298,False,0,38.96899610552926,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.971431,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:34.973181,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.475636,0.11391208466570298,False,0,36.81887055380212,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.478174,0.11391208466570298,False,0,39.30148876052387,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.480181,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.481837,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.983682,0.11391208466570298,False,0,36.883793479290865,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.986225,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.988087,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:35.989565,0.11391208466570298,False,0,39.65433512033285,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:36.491703,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:36.494602,0.11391208466570298,False,0,40.019859265501196,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:36.496582,0.11391208466570298,False,0,36.97296254018367,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:36.498290,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.000825,0.11391208466570298,False,0,98.79386969636398,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.003490,0.11391208466570298,False,0,50.21402723837804,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.005328,0.11391208466570298,False,0,37.06648282364969,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.006903,0.11391208466570298,False,0,40.28750613003216,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.509241,0.11394934140341437,False,0,50.21402112742569,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.511753,0.11394934140341437,False,0,37.18794029440709,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.513991,0.11394934140341437,False,0,98.7938987619184,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:37.517073,0.11394934140341437,False,0,40.54709381020315,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.020730,0.113799759711664,False,0,37.31034326509333,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.024514,0.113799759711664,False,0,50.214015016547954,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.027172,0.113799759711664,False,0,40.79053162827054,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.029404,0.113799759711664,False,0,98.79392782750257,3.79167,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.532639,0.15573192525916676,False,0,98.77598776904689,4.69726,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.535425,0.15573192525916676,False,0,37.41806202782459,4.69726,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.536864,0.15573192525916676,False,0,41.032887421272605,4.69726,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:38.538232,0.15573192525916676,False,0,50.223188981858485,4.69726,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.040341,0.45117447837371605,False,0,98.6201815423744,6.51778,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.042632,0.45117447837371605,False,0,50.30527123993009,6.51778,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.044017,0.45117447837371605,False,0,40.94614368493752,6.51778,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.045317,0.45117447837371605,False,0,37.18323582497229,6.51778,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.547431,0.38861675004822044,False,0,50.47383144950003,8.36111,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.549765,0.38861675004822044,False,0,36.58598811020141,8.36111,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.551176,0.38861675004822044,False,0,40.50437980275156,8.36111,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:39.552447,0.38861675004822044,False,0,98.32189343662192,8.36111,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.054424,0.503858010578475,False,0,50.69354796317633,9.98039,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.057539,0.503858010578475,False,0,39.9044612267932,9.98039,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.060627,0.503858010578475,False,0,35.81445704038817,9.98039,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.064437,0.503858010578475,False,0,97.96889579544133,9.98039,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.567091,0.17559631030888959,False,0,51.05514325035033,10.7328,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.570336,0.17559631030888959,False,0,34.633206491662726,10.7328,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.572631,0.17559631030888959,False,0,38.92220609384894,10.7328,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:40.573924,0.17559631030888959,False,0,97.4536560027277,10.7328,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.075675,0.3468343829030441,False,0,97.00218666248256,11.9528,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.078171,0.3468343829030441,False,0,33.577971102233086,11.9528,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.079569,0.3468343829030441,False,0,38.036536686553944,11.9528,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.080928,0.3468343829030441,False,0,51.41561887860284,11.9528,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.583101,0.12276354831907521,False,0,29.950960835124413,14.089,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.586611,0.12276354831907521,False,0,96.38408082719286,14.089,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.589358,0.12276354831907521,False,0,51.983386195550366,14.089,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.591735,0.12276354831907521,False,0,36.739192734551686,14.089,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:41.594031,0.12276354831907521,False,0,32.058137100353335,14.089,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.097946,0.16503506307755486,False,0,52.67205150316073,16.0396,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.101171,0.16503506307755486,False,0,27.956327369606853,16.0396,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.103646,0.16503506307755486,False,0,95.74611817069083,16.0396,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.106050,0.16503506307755486,False,0,35.29518242477837,16.0396,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.108241,0.16503506307755486,False,0,30.377099410812125,16.0396,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.610184,0.4780226641393784,False,0,25.867840660325577,17.8399,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.612924,0.4780226641393784,False,0,95.11920929715113,17.8399,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.614645,0.4780226641393784,False,0,53.46756095014218,17.8399,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.616274,0.4780226641393784,False,0,33.804540661135924,17.8399,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:42.617749,0.4780226641393784,False,0,28.669567018033337,17.8399,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.119685,0.14321323614062242,False,0,23.56442348087805,19.661,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.122454,0.14321323614062242,False,0,54.43177226372954,19.661,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.125177,0.14321323614062242,False,0,32.22380698162795,19.661,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.127623,0.14321323614062242,False,0,26.830922751918013,19.661,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.130061,0.14321323614062242,False,0,94.47743602058839,19.661,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.632896,0.12089436250692152,False,0,30.32398258118315,21.8094,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.636243,0.12089436250692152,False,0,55.790481935884515,21.8094,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.637795,0.12089436250692152,False,0,24.470363832345075,21.8094,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.639218,0.12089436250692152,False,0,93.73466740399081,21.8094,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:43.640555,0.12089436250692152,False,0,20.621246969071077,21.8094,False,True,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.143116,0.1487526935520506,False,0,28.51240895516514,23.8972,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.147648,0.1487526935520506,False,0,17.53639321826401,23.8972,False,True,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.150693,0.1487526935520506,False,0,57.3615261467185,23.8972,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.152766,0.1487526935520506,False,0,93.05255305840879,23.8972,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.154084,0.1487526935520506,False,0,22.005518763018006,23.8972,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.655758,0.48935715678021124,False,0,58.96493711639485,25.7755,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.658410,0.48935715678021124,False,0,27.031349516166706,25.7755,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.660103,0.48935715678021124,False,0,19.812641821225032,25.7755,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.661791,0.48935715678021124,False,0,14.651106861523782,25.7755,False,True,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:44.663263,0.48935715678021124,False,0,92.50465367407904,25.7755,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.165432,0.1331816017074962,False,0,61.06427816239844,27.8849,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.167846,0.1331816017074962,False,0,17.44531151266124,27.8849,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.169426,0.1331816017074962,False,0,11.195450395102164,27.8849,False,True,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.170849,0.1331816017074962,False,0,25.59958644320657,27.8849,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.172350,0.1331816017074962,False,0,91.96629645445016,27.8849,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.674514,0.5094361556515106,False,0,8.07041201332225,24.7287,False,True,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.676978,0.5094361556515106,False,0,15.649457827269183,24.7287,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.678503,0.5094361556515106,False,0,91.58171792598365,24.7287,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.679906,0.5094361556515106,False,0,63.23447723597242,24.7287,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:45.681293,0.5094361556515106,False,0,24.651311188180788,24.7287,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.183485,0.42567950054697684,False,0,14.756839348121085,20.0474,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.186228,0.42567950054697684,False,0,91.36430082798344,20.0474,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.187933,0.42567950054697684,False,0,5.735307837454897,20.0474,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.189502,0.42567950054697684,False,0,24.380730985569524,20.0474,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.190794,0.42567950054697684,False,0,65.15756771272824,20.0474,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.693118,0.24701829406622808,False,0,4.203820159138724,16.648,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.697130,0.24701829406622808,False,0,66.85180416529374,16.648,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.700692,0.24701829406622808,False,0,24.61932828090274,16.648,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.703931,0.24701829406622808,False,0,91.25701361346083,16.648,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:46.705439,0.24701829406622808,False,0,14.591489397313001,16.648,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.208342,0.35604575812478145,False,0,3.8363332376224757,14.5804,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.210549,0.35604575812478145,False,0,25.15494747975568,14.5804,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.211841,0.35604575812478145,False,0,14.949767741380528,14.5804,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.213317,0.35604575812478145,False,0,91.29334647880309,14.5804,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.214709,0.35604575812478145,False,0,68.28322566898397,14.5804,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.716498,0.23447438167531195,False,0,91.39396261706315,12.2597,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.719315,0.23447438167531195,False,0,4.5191066482164635,12.2597,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.721271,0.23447438167531195,False,0,69.6176915670984,12.2597,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.723201,0.23447438167531195,False,0,15.684602277212631,12.2597,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:47.724790,0.23447438167531195,False,0,25.981470365621767,12.2597,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.227011,0.451712734671723,False,0,91.50218547459417,12.694,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.229854,0.451712734671723,False,0,70.73126045252415,12.694,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.231397,0.451712734671723,False,0,5.584093508620459,12.694,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.232883,0.451712734671723,False,0,26.804853967135443,12.694,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.234264,0.451712734671723,False,0,16.501582587786167,12.694,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.736533,0.5358779320566983,False,0,17.643714598700086,12.6131,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
2023-03-29 16:09:48.739327,0.5358779320566983,False,0,72.08099056587172,12.6131,False,False,129.57127380371094,-72.48213958740234,7.887035846710205
