Time,Distance path,Collided,Lateral Response,Distance Actor,Stopping Distance,Crossing Border,Dangerous,Player Loc X,Player Loc Y,Player Loc Z,Speed player
2023-04-01 19:15:56.079901,0.11383639824376528,False,,,,,,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:56.584326,0.11383639824376528,False,0,35.41116130485088,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:56.587802,0.11383639824376528,False,0,38.051222276658436,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:56.590168,0.11383639824376528,False,0,32.496439909872706,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.093224,0.11383639824376528,False,0,35.521331837967885,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.096819,0.11383639824376528,False,0,38.069414574787,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.099440,0.11383639824376528,False,0,32.738276488195226,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.602770,0.11383639824376528,False,0,35.58035190379682,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.606127,0.11383639824376528,False,0,38.10209216640833,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:57.607915,0.11383639824376528,False,0,33.0398201190964,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.110840,0.11383639824376528,False,0,35.60417961469266,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.114595,0.11383639824376528,False,0,38.1372557376155,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.116963,0.11383639824376528,False,0,33.28215036408569,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.620319,0.11383639824376528,False,0,35.64868359318375,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.623687,0.11383639824376528,False,0,38.18429965226265,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:58.626189,0.11383639824376528,False,0,33.58348604114381,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=0.000000, y=0.000000, z=0.000000)"
2023-04-01 19:15:59.129078,0.11379053539270353,False,0,35.69768806689084,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.000019, y=-0.000000, z=0.000353)"
2023-04-01 19:15:59.132949,0.11379053539270353,False,0,33.894335531221145,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.000019, y=-0.000000, z=0.000353)"
2023-04-01 19:15:59.136433,0.11379053539270353,False,0,38.22205909992128,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.000019, y=-0.000000, z=0.000353)"
2023-04-01 19:15:59.639867,0.11514249764753744,False,0,38.235221581719415,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.142259, y=-0.003719, z=-0.000106)"
2023-04-01 19:15:59.643646,0.11514249764753744,False,0,34.19774686350566,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.142259, y=-0.003719, z=-0.000106)"
2023-04-01 19:15:59.646365,0.11514249764753744,False,0,35.736087894150366,3.79167,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.142259, y=-0.003719, z=-0.000106)"
2023-04-01 19:16:00.149428,0.29497687070936757,False,0,38.10894104048918,5.33795,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.860597, y=-0.022261, z=-0.000042)"
2023-04-01 19:16:00.151728,0.29497687070936757,False,0,34.3576044020762,5.33795,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.907406, y=-0.023456, z=-0.000245)"
2023-04-01 19:16:00.153133,0.29497687070936757,False,0,35.55551079950926,5.33795,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-0.907406, y=-0.023456, z=-0.000245)"
2023-04-01 19:16:00.655437,0.14841922722171477,False,0,34.17112177894959,7.22882,False,False,129.57156372070312,-72.48199462890625,7.887077331542969,"Vector3D(x=-1.553512, y=-0.040239, z=0.000122)"
