cars,people,weather,tests
37.0,100.0,100.0,1.0
52.0,100.0,100.0,1.0
56.0,100.0,100.0,1.0
62.0,100.0,100.0,1.0
95.0,100.0,14.0,1.0
96.0,100.0,100.0,1.0
98.0,100.0,100.0,1.0
100.0,0.0,100.0,1.0
100.0,100.0,21.0,1.0
100.0,100.0,64.0,1.0
